Well,Strain,Biorep,Techrep,Media
A1,,,,R
A2,,,,R
A3,,,,R
A4,,,,R
A5,,,,R
A6,,,,R
A7,,,,R
A8,,,,R
A9,,,,R
A10,,,,R
A11,,,,R
A12,,,,R
B1,,,,R
B2,ECM2201,1,1,R
B3,ECM2201,2,1,R
B4,ECM2201,3,1,R
B5,ECM2201,4,1,R
B6,GAT201,1,1,R
B7,GAT201,2,1,R
B8,GAT201,3,1,R
B9,GAT201,4,1,R
B10,MEP1,1,1,R
B11,MEP1,2,1,R
B12,,,,R
C1,,,,R
C2,ECM2201,1,2,R
C3,ECM2201,2,2,R
C4,ECM2201,3,2,R
C5,ECM2201,4,2,R
C6,GAT201,1,2,R
C7,GAT201,2,2,R
C8,GAT201,3,2,R
C9,GAT201,4,2,R
C10,MEP1,1,2,R
C11,MEP1,2,2,R
C12,,,,R
D1,,,,R
D2,ECM2201,1,3,R
D3,ECM2201,2,3,R
D4,ECM2201,3,3,R
D5,ECM2201,4,3,R
D6,GAT201,1,3,R
D7,GAT201,2,3,R
D8,GAT201,3,3,R
D9,GAT201,4,3,R
D10,MEP1,1,3,R
D11,MEP1,2,3,R
D12,,,,R
E1,,,,R
E2,PDR802,1,1,R
E3,PDR802,2,1,R
E4,PDR802,3,1,R
E5,PDR802,4,1,R
E6,KN99 (WT),1,1,R
E7,KN99 (WT),2,1,R
E8,KN99 (WT),3,1,R
E9,KN99 (WT),4,1,R
E10,MEP1,3,1,R
E11,MEP1,4,1,R
E12,,,,R
F1,,,,R
F2,PDR802,1,2,R
F3,PDR802,2,2,R
F4,PDR802,3,2,R
F5,PDR802,4,2,R
F6,KN99 (WT),1,2,R
F7,KN99 (WT),2,2,R
F8,KN99 (WT),3,2,R
F9,KN99 (WT),4,2,R
F10,MEP1,3,2,R
F11,MEP1,4,2,R
F12,,,,R
G1,,,,R
G2,PDR802,1,3,R
G3,PDR802,2,3,R
G4,PDR802,3,3,R
G5,PDR802,4,3,R
G6,KN99 (WT),1,3,R
G7,KN99 (WT),2,3,R
G8,KN99 (WT),3,3,R
G9,KN99 (WT),4,3,R
G10,MEP1,3,3,R
G11,MEP1,4,3,R
G12,,,,R
H1,,,,R
H2,,,,R
H3,,,,R
H4,,,,R
H5,,,,R
H6,,,,R
H7,,,,R
H8,,,,R
H9,,,,R
H10,,,,R
H11,,,,R
H12,,,,R
